dataset,model,method,drift_type,window_size,tda_subsample,pca_dim,seed,auc,detection_delay,fpr,runtime_per_window
ag_news,minilm,tda_wass_h0,subtle_gradual,200,150,50,1011,0.8333333333333333,4.0,0.4,0.7469034075737
ag_news,minilm,tda_wass_h1,subtle_gradual,200,150,50,1011,0.6875,5.0,0.0,0.7469034075737
ag_news,minilm,centroid,rotation_drift,200,150,50,42,1.0,0.0,0.2,1.3720816373825073
ag_news,minilm,covariance,rotation_drift,200,150,50,42,1.0,0.0,0.6,1.3720816373825073
ag_news,minilm,mmd,rotation_drift,200,150,50,42,0.97,0.0,0.0,1.3720816373825073
ag_news,minilm,knn,rotation_drift,200,150,50,42,1.0,0.0,0.6,1.3720816373825073
ag_news,minilm,energy,rotation_drift,200,150,50,42,0.81,10.0,0.0,1.3720816373825073
ag_news,minilm,classifier,rotation_drift,200,150,50,42,0.7050000000000001,1.0,0.2,1.3720816373825073
ag_news,minilm,tda_bottleneck_h0,rotation_drift,200,150,50,42,0.365,10.0,0.4,0.7465317249298096
ag_news,minilm,tda_h0_max_lifetime,rotation_drift,200,150,50,42,0.6900000000000001,1.0,0.0,0.7465317249298096
ag_news,minilm,tda_h0_mean_lifetime,rotation_drift,200,150,50,42,0.99,0.0,0.0,0.7465317249298096
ag_news,minilm,tda_h0_std_lifetime,rotation_drift,200,150,50,42,0.27,10.0,0.0,0.7465317249298096
ag_news,minilm,tda_h0_total_persistence,rotation_drift,200,150,50,42,0.76,0.0,0.0,0.7465317249298096
ag_news,minilm,tda_h1_max_lifetime,rotation_drift,200,150,50,42,0.94,0.0,0.4,0.7465317249298096
ag_news,minilm,tda_h1_n_features,rotation_drift,200,150,50,42,0.26,1.0,0.2,0.7465317249298096
ag_news,minilm,tda_h1_total_persistence,rotation_drift,200,150,50,42,0.9400000000000001,0.0,0.4,0.7465317249298096
ag_news,minilm,tda_landscape_h0_L1_norm,rotation_drift,200,150,50,42,0.6900000000000001,1.0,0.0,0.7465317249298096
ag_news,minilm,tda_landscape_h0_L2_norm,rotation_drift,200,150,50,42,0.33999999999999997,10.0,0.4,0.7465317249298096
ag_news,minilm,tda_landscape_h0_L3_norm,rotation_drift,200,150,50,42,0.79,1.0,0.2,0.7465317249298096
ag_news,minilm,tda_landscape_h1_L1_norm,rotation_drift,200,150,50,42,0.6799999999999999,5.0,0.0,0.7465317249298096
ag_news,minilm,tda_landscape_h1_L2_norm,rotation_drift,200,150,50,42,0.8400000000000001,2.0,0.0,0.7465317249298096
ag_news,minilm,tda_landscape_h1_L3_norm,rotation_drift,200,150,50,42,0.89,2.0,0.0,0.7465317249298096
ag_news,minilm,tda_pe_h0,rotation_drift,200,150,50,42,0.34,10.0,0.0,0.7465317249298096
ag_news,minilm,tda_pe_h1,rotation_drift,200,150,50,42,0.28,10.0,0.2,0.7465317249298096
ag_news,minilm,tda_phd,rotation_drift,200,150,50,42,0.89,1.0,0.2,0.7465317249298096
ag_news,minilm,tda_sliced_wass_h0,rotation_drift,200,150,50,42,0.99,0.0,0.2,0.7465317249298096
ag_news,minilm,tda_sliced_wass_h1,rotation_drift,200,150,50,42,1.0,0.0,0.2,0.7465317249298096
ag_news,minilm,tda_wass_h0,rotation_drift,200,150,50,42,0.9400000000000001,0.0,0.2,0.7465317249298096
ag_news,minilm,tda_wass_h1,rotation_drift,200,150,50,42,1.0,0.0,0.4,0.7465317249298096
ag_news,minilm,centroid,rotation_drift,200,150,50,123,1.0,0.0,0.2,1.2758679866790772
ag_news,minilm,covariance,rotation_drift,200,150,50,123,1.0,0.0,0.2,1.2758679866790772
ag_news,minilm,mmd,rotation_drift,200,150,50,123,0.98,0.0,0.0,1.2758679866790772
ag_news,minilm,knn,rotation_drift,200,150,50,123,1.0,0.0,0.0,1.2758679866790772
ag_news,minilm,energy,rotation_drift,200,150,50,123,0.9299999999999999,4.0,0.0,1.2758679866790772
ag_news,minilm,classifier,rotation_drift,200,150,50,123,0.6300000000000001,0.0,0.4,1.2758679866790772
ag_news,minilm,tda_bottleneck_h0,rotation_drift,200,150,50,123,0.45,1.0,0.0,0.7597542762756347
ag_news,minilm,tda_h0_max_lifetime,rotation_drift,200,150,50,123,0.32999999999999996,10.0,0.2,0.7597542762756347
ag_news,minilm,tda_h0_mean_lifetime,rotation_drift,200,150,50,123,0.9800000000000001,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_h0_std_lifetime,rotation_drift,200,150,50,123,0.79,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_h0_total_persistence,rotation_drift,200,150,50,123,0.7899999999999999,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_h1_max_lifetime,rotation_drift,200,150,50,123,0.64,1.0,0.2,0.7597542762756347
ag_news,minilm,tda_h1_n_features,rotation_drift,200,150,50,123,0.46499999999999997,10.0,0.0,0.7597542762756347
ag_news,minilm,tda_h1_total_persistence,rotation_drift,200,150,50,123,0.79,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_landscape_h0_L1_norm,rotation_drift,200,150,50,123,0.32999999999999996,10.0,0.2,0.7597542762756347
ag_news,minilm,tda_landscape_h0_L2_norm,rotation_drift,200,150,50,123,0.37,8.0,0.2,0.7597542762756347
ag_news,minilm,tda_landscape_h0_L3_norm,rotation_drift,200,150,50,123,0.63,8.0,0.0,0.7597542762756347
ag_news,minilm,tda_landscape_h1_L1_norm,rotation_drift,200,150,50,123,0.6699999999999999,1.0,0.6,0.7597542762756347
ag_news,minilm,tda_landscape_h1_L2_norm,rotation_drift,200,150,50,123,0.79,0.0,0.6,0.7597542762756347
ag_news,minilm,tda_landscape_h1_L3_norm,rotation_drift,200,150,50,123,0.8,1.0,0.4,0.7597542762756347
ag_news,minilm,tda_pe_h0,rotation_drift,200,150,50,123,0.39,10.0,0.0,0.7597542762756347
ag_news,minilm,tda_pe_h1,rotation_drift,200,150,50,123,0.41000000000000003,10.0,0.0,0.7597542762756347
ag_news,minilm,tda_phd,rotation_drift,200,150,50,123,0.9500000000000001,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_sliced_wass_h0,rotation_drift,200,150,50,123,0.9,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_sliced_wass_h1,rotation_drift,200,150,50,123,1.0,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_wass_h0,rotation_drift,200,150,50,123,0.8600000000000001,0.0,0.0,0.7597542762756347
ag_news,minilm,tda_wass_h1,rotation_drift,200,150,50,123,1.0,0.0,0.0,0.7597542762756347
ag_news,minilm,centroid,rotation_drift,200,150,50,456,1.0,0.0,0.4,1.3110520601272584
ag_news,minilm,covariance,rotation_drift,200,150,50,456,1.0,0.0,0.2,1.3110520601272584
ag_news,minilm,mmd,rotation_drift,200,150,50,456,1.0,0.0,0.8,1.3110520601272584
ag_news,minilm,knn,rotation_drift,200,150,50,456,0.84,0.0,0.2,1.3110520601272584
ag_news,minilm,energy,rotation_drift,200,150,50,456,0.94,0.0,0.0,1.3110520601272584
ag_news,minilm,classifier,rotation_drift,200,150,50,456,0.835,1.0,0.2,1.3110520601272584
ag_news,minilm,tda_bottleneck_h0,rotation_drift,200,150,50,456,0.66,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_h0_max_lifetime,rotation_drift,200,150,50,456,0.77,0.0,0.2,0.6880768895149231
ag_news,minilm,tda_h0_mean_lifetime,rotation_drift,200,150,50,456,1.0,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_h0_std_lifetime,rotation_drift,200,150,50,456,0.54,3.0,0.0,0.6880768895149231
ag_news,minilm,tda_h0_total_persistence,rotation_drift,200,150,50,456,0.89,1.0,0.0,0.6880768895149231
ag_news,minilm,tda_h1_max_lifetime,rotation_drift,200,150,50,456,0.81,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_h1_n_features,rotation_drift,200,150,50,456,0.37,10.0,0.0,0.6880768895149231
ag_news,minilm,tda_h1_total_persistence,rotation_drift,200,150,50,456,0.9199999999999999,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_landscape_h0_L1_norm,rotation_drift,200,150,50,456,0.77,0.0,0.2,0.6880768895149231
ag_news,minilm,tda_landscape_h0_L2_norm,rotation_drift,200,150,50,456,0.52,5.0,0.2,0.6880768895149231
ag_news,minilm,tda_landscape_h0_L3_norm,rotation_drift,200,150,50,456,0.75,5.0,0.0,0.6880768895149231
ag_news,minilm,tda_landscape_h1_L1_norm,rotation_drift,200,150,50,456,0.48,0.0,0.6,0.6880768895149231
ag_news,minilm,tda_landscape_h1_L2_norm,rotation_drift,200,150,50,456,0.43000000000000005,0.0,0.8,0.6880768895149231
ag_news,minilm,tda_landscape_h1_L3_norm,rotation_drift,200,150,50,456,0.8099999999999999,0.0,0.2,0.6880768895149231
ag_news,minilm,tda_pe_h0,rotation_drift,200,150,50,456,0.63,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_pe_h1,rotation_drift,200,150,50,456,0.44,10.0,0.0,0.6880768895149231
ag_news,minilm,tda_phd,rotation_drift,200,150,50,456,1.0,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_sliced_wass_h0,rotation_drift,200,150,50,456,0.9800000000000001,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_sliced_wass_h1,rotation_drift,200,150,50,456,1.0,0.0,0.2,0.6880768895149231
ag_news,minilm,tda_wass_h0,rotation_drift,200,150,50,456,0.9500000000000001,0.0,0.0,0.6880768895149231
ag_news,minilm,tda_wass_h1,rotation_drift,200,150,50,456,1.0,0.0,0.0,0.6880768895149231
ag_news,minilm,centroid,rotation_drift,200,150,50,789,1.0,0.0,0.2,1.2741796374320984
ag_news,minilm,covariance,rotation_drift,200,150,50,789,1.0,0.0,0.2,1.2741796374320984
